customer_id,snapshot_month,converted_next_3m,responsible_credit_behaviour_6m,observed_product_id,synthetic_p_conversion_true,synthetic_p_responsible_true
C000001,2024-01-31,0,1,NONE,0.10717,0.91293
C000002,2024-01-31,0,1,NONE,0.04248,0.71095
C000003,2024-01-31,0,1,NONE,0.05328,0.72112
C000004,2024-01-31,1,1,P004,0.08642,0.79413
C000005,2024-01-31,0,1,NONE,0.07329,0.52498
C000006,2024-01-31,0,1,NONE,0.09608,0.93703
C000007,2024-01-31,0,1,NONE,0.08594,0.91293
C000008,2024-01-31,0,0,NONE,0.11482,0.83202
C000009,2024-01-31,0,1,NONE,0.17982,0.70057
C000010,2024-01-31,0,1,NONE,0.03864,0.8808
C000011,2024-01-31,1,1,P001,0.0639,0.83889
C000012,2024-01-31,0,1,NONE,0.11992,0.91293
C000013,2024-01-31,1,1,P004,0.06334,0.82491
C000014,2024-01-31,1,1,P002,0.20167,0.86989
C000015,2024-01-31,0,1,NONE,0.10836,0.82491
C000016,2024-01-31,0,1,NONE,0.0896,0.83889
C000017,2024-01-31,0,0,NONE,0.05661,0.68997
C000018,2024-01-31,0,1,NONE,0.04262,0.78583
C000019,2024-01-31,0,1,NONE,0.10228,0.86989
C000020,2024-01-31,0,1,NONE,0.10837,0.82491
C000021,2024-01-31,0,1,NONE,0.08091,0.91293
C000022,2024-01-31,0,1,NONE,0.07393,0.76852
C000023,2024-01-31,0,1,NONE,0.07853,0.90465
C000024,2024-01-31,0,1,NONE,0.06277,0.91293
C000025,2024-01-31,0,0,NONE,0.11574,0.86989
C000026,2024-01-31,0,1,NONE,0.09314,0.83889
C000027,2024-01-31,1,1,P004,0.03877,0.61064
C000028,2024-01-31,0,0,NONE,0.07412,0.78583
C000029,2024-01-31,0,0,NONE,0.02742,0.63414
C000030,2024-01-31,0,1,NONE,0.05671,0.82491
C000031,2024-01-31,0,1,NONE,0.05993,0.8808
C000032,2024-01-31,0,1,NONE,0.11879,0.93703
C000033,2024-01-31,0,0,NONE,0.08887,0.61064
C000034,2024-01-31,0,1,NONE,0.0377,0.83889
C000035,2024-01-31,0,1,NONE,0.06981,0.68997
C000036,2024-01-31,0,1,NONE,0.03941,0.76852
C000037,2024-01-31,1,1,P002,0.08192,0.65701
C000038,2024-01-31,0,1,NONE,0.03947,0.8808
C000039,2024-01-31,0,1,NONE,0.07453,0.83889
C000040,2024-01-31,0,1,NONE,0.06542,0.8808
C000041,2024-01-31,0,1,NONE,0.06401,0.76852
C000042,2024-01-31,0,1,NONE,0.07519,0.75951
C000043,2024-01-31,0,1,NONE,0.10794,0.8808
C000044,2024-01-31,1,1,P002,0.18678,0.76852
C000045,2024-01-31,0,1,NONE,0.08229,0.86989
C000046,2024-01-31,1,1,P003,0.12766,0.83202
C000047,2024-01-31,0,0,NONE,0.03998,0.83889
C000048,2024-01-31,0,1,NONE,0.04743,0.66819
C000049,2024-01-31,0,1,NONE,0.0714,0.8808
C000050,2024-01-31,0,1,NONE,0.15772,0.70057
C000051,2024-01-31,0,1,NONE,0.11758,0.76852
C000052,2024-01-31,0,1,NONE,0.05175,0.78583
C000053,2024-01-31,0,1,NONE,0.07257,0.84553
C000054,2024-01-31,0,1,NONE,0.06655,0.7773
C000055,2024-01-31,0,1,NONE,0.04325,0.8808
C000056,2024-01-31,0,1,NONE,0.06579,0.86989
C000057,2024-01-31,0,1,NONE,0.10509,0.8808
C000058,2024-01-31,0,1,NONE,0.07911,0.82491
C000059,2024-01-31,0,0,NONE,0.06274,0.78583
C000060,2024-01-31,0,1,NONE,0.09024,0.78583
C000061,2024-01-31,0,1,NONE,0.11299,0.8808
C000062,2024-01-31,0,1,NONE,0.05266,0.82491
