customer_id,age,income_band,employment_type,region,tenure_months,digital_engagement_score,income_band_score,annual_income,customer_segment
C000001,27,Upper-middle,Salaried,Midlands,119,0.5104719992547346,4,43099.0,High-value
C000002,29,Lower-middle,Salaried,North West,78,0.47380507573691,2,28724.0,Mass market
C000003,68,Upper-middle,Salaried,South East,8,0.22322637741134263,4,48596.0,New customer
C000004,61,Middle,Salaried,London,5,0.18679730019889748,3,39438.0,New customer
C000005,34,Low,Salaried,London,42,0.6408031926074089,1,19741.0,Mass market
C000006,35,High,Pensioner,Wales,44,0.7820188732514344,5,130021.0,Digital-first
C000007,25,Upper-middle,Salaried,Midlands,130,0.5195396441751299,4,51306.0,High-value
C000008,18,Upper-middle,Salaried,London,91,0.8597973931272165,4,60509.0,Digital-first
C000009,38,Low,Independent,South East,179,0.6547403916769282,1,15916.0,Mass market
C000010,27,Middle,Salaried,South West,98,0.2084379648784845,3,36154.0,Mass market
C000011,38,Lower-middle,Contractor,Midlands,162,0.4617466668037006,2,24797.0,Mass market
C000012,20,Upper-middle,Independent,Midlands,100,0.33292261179123556,4,70175.0,High-value
C000013,30,Middle,Salaried,South West,66,0.5148530635650878,3,38720.0,Mass market
C000014,41,Upper-middle,Independent,Midlands,129,0.4451364801330335,4,84313.0,High-value
C000015,43,Middle,Independent,Midlands,82,0.6299842871949684,3,44795.0,Mass market
C000016,44,Lower-middle,Independent,London,51,0.6112101212456303,2,23475.0,Mass market
C000017,23,Middle,Contractor,London,86,0.28176298267867467,3,39536.0,Mass market
C000018,49,Low,Independent,Wales,120,0.44159190696702744,1,15691.0,Mass market
C000019,29,Upper-middle,Independent,Midlands,69,0.5085096018830455,4,69937.0,High-value
C000020,47,Middle,Salaried,South East,127,0.4833782049265217,3,30987.0,Mass market
C000021,39,Upper-middle,Independent,Midlands,176,0.6490354163180787,4,48698.0,High-value
C000022,22,Lower-middle,Pensioner,London,75,0.21463175831407955,2,25350.0,Mass market
C000023,35,High,Independent,South West,55,0.25098818918894206,5,105381.0,High-value
C000024,43,Upper-middle,Independent,London,74,0.26038131420371535,4,74232.0,High-value
C000025,46,Upper-middle,Salaried,South West,151,0.653384460342124,4,75695.0,High-value
C000026,37,Lower-middle,Independent,Midlands,34,0.6449957534652041,2,30374.0,Mass market
C000027,57,Middle,Pensioner,London,175,0.27590599733576454,3,41443.0,Mass market
C000028,51,Low,Salaried,London,76,0.41932284263384567,1,20289.0,Mass market
C000029,36,Low,Salaried,South West,151,0.14675893035041548,1,14704.0,Mass market
C000030,48,Middle,Salaried,London,142,0.1686489870273776,3,29604.0,Mass market
C000031,62,Middle,Salaried,London,141,0.2768084121910655,3,44934.0,Mature relationship
C000032,63,High,Salaried,North West,163,0.646524307694932,5,79714.0,High-value
C000033,24,Lower-middle,Salaried,South East,35,0.5535031896103696,2,27707.0,Mass market
C000034,28,Lower-middle,Salaried,South East,108,0.2647128998011267,2,28536.0,Mass market
C000035,57,Middle,Independent,London,20,0.3023094814276558,3,43667.0,Mass market
C000036,26,Lower-middle,Independent,South West,55,0.1965947269328091,2,32201.0,Mass market
C000037,23,Low,Independent,London,10,0.2957009488396298,1,20396.0,New customer
C000038,33,Middle,Independent,London,123,0.3411840510448938,3,43310.0,Mass market
C000039,44,Lower-middle,Independent,London,110,0.48816572413002773,2,26020.0,Mass market
C000040,38,Middle,Independent,London,134,0.3894678172624131,3,42724.0,Mass market
C000041,31,Lower-middle,Independent,London,34,0.07620497515137543,2,25329.0,Mass market
